epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.12948,2.86844,7.34861,4.43644,0,0,0,0,3.19877,10.8148,4.15877,0,0,0
2,8.73404,2.77154,7.45401,4.20556,0,0,0,0,3.19897,10.814,4.15867,1.17822e-06,1.17822e-06,1.17822e-06
3,15.1309,2.91967,8.69086,4.28734,0,0,0,0,3.19916,10.8138,4.15855,2.33288e-06,2.33288e-06,2.33288e-06
4,20.9314,2.74097,8.36885,4.58246,0,0,0,0,3.19936,10.8137,4.15845,3.46397e-06,3.46397e-06,3.46397e-06
5,26.5154,3.30751,7.29433,4.36049,0,0,0,0,3.19955,10.814,4.15835,4.5715e-06,4.5715e-06,4.5715e-06
6,31.2482,2.88137,6.97306,4.41857,0,0,0,0,3.19975,10.8143,4.15824,5.65548e-06,5.65548e-06,5.65548e-06
7,36.05,3.58248,8.1114,4.37473,0,0,0,0,3.19995,10.8148,4.15812,6.71588e-06,6.71588e-06,6.71588e-06
8,40.8321,2.81222,8.31282,4.22957,0,0,0,0,3.20014,10.8148,4.15801,7.75273e-06,7.75273e-06,7.75273e-06
9,45.3262,3.00866,6.85101,4.29277,0,0,0,0,3.20031,10.815,4.15791,8.76602e-06,8.76602e-06,8.76602e-06
10,49.9843,3.04036,8.01526,4.35844,0,0,0,0,3.20049,10.8158,4.15781,9.75574e-06,9.75574e-06,9.75574e-06
11,54.4279,3.21352,6.95301,4.38353,0,0,0,0,3.20069,10.8139,4.15769,1.07219e-05,1.07219e-05,1.07219e-05
12,58.2597,3.31834,7.6118,4.25915,0,0,0,0,3.2009,10.8153,4.15758,1.16645e-05,1.16645e-05,1.16645e-05
13,61.9511,2.60482,8.47978,4.47455,0,0,0,0,3.2011,10.8149,4.15748,1.25835e-05,1.25835e-05,1.25835e-05
14,65.4434,2.99947,7.17705,4.34294,0,0,0,0,3.20131,10.8158,4.15737,1.3479e-05,1.3479e-05,1.3479e-05
15,69.1854,3.17308,7.35123,4.17137,0,0,0,0,3.20151,10.816,4.15727,1.43509e-05,1.43509e-05,1.43509e-05
16,73.7218,2.71368,7.87443,4.33549,0,0,0,0,3.20171,10.8173,4.15716,1.51993e-05,1.51993e-05,1.51993e-05
17,78.3614,2.99276,8.10481,4.55429,0,0,0,0,3.2019,10.8179,4.15705,1.60241e-05,1.60241e-05,1.60241e-05
18,82.328,3.18897,7.09689,4.35649,0,0,0,0,3.2019,10.8179,4.15705,1.68253e-05,1.68253e-05,1.68253e-05
19,86.3016,3.19027,7.29174,4.44348,0,0,0,0,3.20227,10.8206,4.15687,1.7603e-05,1.7603e-05,1.7603e-05
20,89.5081,3.46417,8.24894,4.65145,0,0,0,0,3.20227,10.8206,4.15687,1.83571e-05,1.83571e-05,1.83571e-05
21,93.4371,3.04936,6.84118,4.19861,0,0,0,0,3.2027,10.8197,4.15665,1.90876e-05,1.90876e-05,1.90876e-05
22,96.6518,2.41968,7.94521,4.28724,0,0,0,0,3.2027,10.8197,4.15665,1.97946e-05,1.97946e-05,1.97946e-05
23,100.17,2.98098,7.28409,4.26099,0,0,0,0,3.20311,10.8201,4.15646,2.0478e-05,2.0478e-05,2.0478e-05
24,104.048,2.74153,7.40358,4.27291,0,0,0,0,3.20311,10.8201,4.15646,2.11379e-05,2.11379e-05,2.11379e-05
25,108.229,2.6841,7.4586,4.14412,0,0,0,0,3.20357,10.8204,4.15625,2.17741e-05,2.17741e-05,2.17741e-05
26,112.017,3.3498,7.52328,4.452,0,0,0,0,3.20357,10.8204,4.15625,2.23869e-05,2.23869e-05,2.23869e-05
27,115.484,2.78971,7.1595,4.43387,0,0,0,0,3.20405,10.8238,4.15606,2.2976e-05,2.2976e-05,2.2976e-05
28,119.087,3.12121,7.35023,4.26284,0,0,0,0,3.20405,10.8238,4.15606,2.35417e-05,2.35417e-05,2.35417e-05
29,122.978,3.18825,8.52421,4.43947,0,0,0,0,3.20453,10.8241,4.15585,2.40837e-05,2.40837e-05,2.40837e-05
30,126.623,2.73468,6.83798,4.37116,0,0,0,0,3.20453,10.8241,4.15585,2.46022e-05,2.46022e-05,2.46022e-05
31,130.249,3.59768,7.48999,4.31913,0,0,0,0,3.20507,10.8272,4.15564,2.50971e-05,2.50971e-05,2.50971e-05
32,134.326,3.1614,7.43148,4.65893,0,0,0,0,3.20507,10.8272,4.15564,2.55685e-05,2.55685e-05,2.55685e-05
33,138.57,3.04135,7.51405,4.44004,0,0,0,0,3.20554,10.8301,4.15547,2.60163e-05,2.60163e-05,2.60163e-05
34,142.325,2.94398,7.93967,4.23195,0,0,0,0,3.20554,10.8301,4.15547,2.64405e-05,2.64405e-05,2.64405e-05
35,146.096,3.04316,6.98721,4.34029,0,0,0,0,3.20604,10.837,4.15531,2.68412e-05,2.68412e-05,2.68412e-05
36,149.967,2.91002,6.65322,4.31222,0,0,0,0,3.20604,10.837,4.15531,2.72183e-05,2.72183e-05,2.72183e-05
37,154.383,2.77694,8.41287,4.23287,0,0,0,0,3.20666,10.8478,4.15476,2.75718e-05,2.75718e-05,2.75718e-05
38,158.416,3.07393,6.9057,4.29711,0,0,0,0,3.20666,10.8478,4.15476,2.79018e-05,2.79018e-05,2.79018e-05
39,162.637,2.8017,7.03323,4.22238,0,0,0,0,3.20725,10.8506,4.15461,2.82082e-05,2.82082e-05,2.82082e-05
40,166.505,3.44347,11.2156,4.39279,0,0,0,0,3.20725,10.8506,4.15461,2.84911e-05,2.84911e-05,2.84911e-05
41,170.509,3.10824,7.36708,4.27962,0,0,0,0,3.20786,10.851,4.15403,2.87504e-05,2.87504e-05,2.87504e-05
42,174.01,3.01805,7.57772,4.2549,0,0,0,0,3.20786,10.851,4.15403,2.89861e-05,2.89861e-05,2.89861e-05
43,178.046,2.84971,9.17366,4.30799,0,0,0,0,3.20852,10.8536,4.15391,2.91983e-05,2.91983e-05,2.91983e-05
44,181.926,3.07153,7.61788,4.13328,0,0,0,0,3.20852,10.8536,4.15391,2.93869e-05,2.93869e-05,2.93869e-05
45,185.926,3.04258,7.95201,4.27785,0,0,0,0,3.20917,10.8548,4.15376,2.9552e-05,2.9552e-05,2.9552e-05
46,190.132,2.25975,8.14566,4.437,0,0,0,0,3.20917,10.8548,4.15376,2.96935e-05,2.96935e-05,2.96935e-05
47,194.894,3.43881,8.07497,4.36071,0,0,0,0,3.20989,10.8598,4.15364,2.98114e-05,2.98114e-05,2.98114e-05
48,199.151,2.96361,6.8511,4.23967,0,0,0,0,3.20989,10.8598,4.15364,2.99058e-05,2.99058e-05,2.99058e-05
49,203.048,3.29804,8.01773,4.1936,0,0,0,0,3.21058,10.8612,4.15353,2.99766e-05,2.99766e-05,2.99766e-05
50,206.836,3.18137,7.42242,4.19843,0,0,0,0,3.21058,10.8612,4.15353,3.00238e-05,3.00238e-05,3.00238e-05
51,210.905,3.25588,6.95832,4.38276,0,0,0,0,3.21132,10.8637,4.15347,3.00475e-05,3.00475e-05,3.00475e-05
52,214.646,3.21997,8.06272,4.37075,0,0,0,0,3.21132,10.8637,4.15347,3.00476e-05,3.00476e-05,3.00476e-05
53,218.533,2.66379,8.07639,4.29524,0,0,0,0,3.21132,10.8637,4.15347,3.00242e-05,3.00242e-05,3.00242e-05
